DATEPRD,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL
2008-02-12,154.0279697826087,52.209045,100.6250002173913,53.40296956521739,8.147359130434783,23.133489239130437,284.65,38888.67,385.01
2008-02-13,151.5167590625,52.70134791666667,91.07247104166666,60.44428802083333,26.687164895833334,22.421956875,1869.7,285246.16,7.13
2008-02-14,147.79303066666668,52.887743111111114,90.93394333333333,56.859087333333335,36.368815444444444,20.042491277777778,3124.09,509954.88,1.16
2008-02-15,148.83135105831533,52.87593767818574,90.41603022678186,58.41532083153348,34.997971695464365,21.079347607991362,2608.28,383426.67,0.97
2008-02-16,147.96775947916666,52.9055571875,90.25052239583333,57.71723708333333,35.75917354166667,20.6159540625,3051.8,418474.0,4.89
2008-02-17,147.77582864583334,52.915649583333334,90.17289041666666,57.60293822916667,36.82090010416667,20.57605276041667,2982.63,422763.0,1.85
2008-02-18,147.10553141304348,52.93323347826087,90.46462380434782,56.64090760869565,37.08007826086956,20.124158641304348,2980.52,413831.0,6.48
2008-02-19,146.9146215625,52.93397916666667,90.03005760416667,56.88456395833333,37.45091927083333,20.460364791666667,3046.19,429218.0,0.73
2008-02-20,146.53074010416665,52.93966510638298,89.83087177083334,56.699868333333335,36.519518617021276,20.346855230496455,3057.18,442982.75,0.46
2008-02-21,146.27012354166666,52.941716979166664,89.7169475,56.55317604166667,35.86874375,40.357494687499994,3030.33,423809.16,0.45
2008-02-22,146.18077942345477,52.94114658157298,89.6411147946436,56.53966462881116,36.16373291870082,20.235454526324162,2907.56,397808.0,0.44
2008-02-23,146.04421199828025,52.92450667276793,89.7428489047014,56.30136309357884,34.798511724667755,20.139332328366027,1851.72,252078.0,0.28
2008-02-24,145.27081270833332,52.952894791666665,89.677346875,55.59346583333333,36.596296458333335,19.959772239583334,3126.7,442808.0,0.47
2008-02-25,145.10407197916666,52.94784875,89.3792040625,55.72486791666667,36.55393291666667,20.28506515625,3045.54,439178.0,0.46
2008-02-26,144.76809229166668,52.95078322916667,89.30133739583333,55.46675489583333,36.153920729166664,20.382088229166666,3046.54,446905.0,0.46
2008-02-27,144.46663145833332,52.951231666666665,89.303873125,55.162758333333336,37.351240833333335,20.433510833333333,3035.54,445616.0,0.46
2008-02-28,144.42413270174794,52.948040192141605,89.10977752131268,55.314355180435264,36.72533505980988,20.728000076681713,2971.55,424674.0,0.45
2008-02-29,143.75717322916665,52.9534165625,89.03371979166667,54.7234534375,36.697917395833336,20.643986979166666,3070.54,450348.0,0.46
2008-03-01,143.44579635416667,52.95454458333333,89.03238114583333,54.41341520833333,37.302112083333334,20.712066145833333,3068.48,447584.12,0.46
2008-03-02,143.13233802083334,52.955304895833336,88.9718140625,54.160523958333336,37.609255833333336,20.719955885416667,3066.54,446144.0,0.46
2008-03-03,142.86393229166666,52.955060833333334,88.83431052083333,54.02962177083333,37.56363885416667,20.827476666666666,3043.54,443726.0,0.46
2008-03-04,142.69099822916667,52.95182666666667,88.653440625,54.037557604166665,37.14351083333333,21.04035328125,2983.19,430246.72,0.45
2008-03-05,142.41443760416666,52.9509184375,88.47979458333333,53.934643020833335,36.25000229166667,21.261710520833336,2967.05,437688.2,0.45
2008-03-06,142.14737208333332,52.949461979166664,88.49217854166666,53.65519354166667,37.5011315625,21.3214896875,2950.88,432727.0,1.74
2008-03-07,142.21184102321035,52.93907664192433,88.3349967967791,53.876844226431274,35.52080739811933,21.610783307602308,2656.62,391264.6,1.57
2008-03-08,142.20657280238478,52.93561104190869,88.19084948930652,54.01572331307826,34.62619030041087,21.926706542385872,2578.48,365769.0,1.52
2008-03-09,141.19303354166667,52.95230604166667,88.22828260416667,52.9647509375,36.56921927083334,21.63955520833333,2996.83,427791.0,1.77
2008-03-10,140.76112895833333,52.95320239583334,88.1163059375,52.644823020833336,36.6682228125,21.72912578125,3021.4,440679.0,0.6
2008-03-11,140.44721947916668,52.95375729166667,88.0418403125,52.40537916666667,36.985283020833336,21.889654114583333,3010.4,450972.0,0.6
2008-03-12,140.54245630914826,52.94752899053628,88.01602117245005,52.52643513669821,36.9448096424816,22.09035652471083,2794.44,418887.0,0.56
2008-03-13,139.74410020833332,52.958096041666664,88.02343958333333,51.720660625,37.654328854166664,22.0792421875,3058.89,458524.0,0.61
2008-03-14,139.55589138985766,52.955780077679,87.94616967282806,51.609721717029586,37.58611732826998,23.947338250616575,2964.81,428015.0,0.59
2008-03-15,138.97555072916666,52.957715625,87.905550625,51.07000010416667,38.13108458333333,25.32140921875,3131.37,454137.0,0.63
2008-03-16,138.64626104166666,52.958570208333335,87.7767225,50.869538541666664,38.00193770833334,25.243048385416667,3135.37,454798.0,0.63
2008-03-17,138.28221364583334,52.96040052083333,87.63267979166666,50.64953385416667,37.62314177083333,25.069757291666665,3143.37,470240.0,0.63
2008-03-18,137.99138166666665,52.95942541666667,87.53597520833333,50.455406458333336,37.688238125,24.993543177083332,3132.37,425284.44,0.63
2008-03-19,137.681445,52.958976354166666,87.451531875,50.229913125,37.7966553125,24.91720890625,3139.62,454093.33,0.63
2008-03-20,137.39634708333332,52.95764729166667,87.3342134375,50.062133645833335,37.33902489583333,24.80834395833333,3156.67,467465.72,0.63
2008-03-21,137.03606572916667,52.957981458333336,87.24919916666667,49.7868665625,37.67850072916667,24.620522135416667,3192.14,458447.4,0.64
2008-03-22,136.72805364583334,52.957732916666664,87.141805625,49.58624802083333,37.66053104166667,24.547390364583332,3172.12,458028.49,0.63
2008-03-23,136.44038958333334,52.95641083333334,87.0439596875,49.396429895833336,37.679705,24.476584114583332,3160.26,466335.26,0.63
2008-03-24,136.11837833333334,52.956392916666665,86.917415,49.200963333333334,37.410635104166666,24.380443072916666,3153.35,468479.65,0.63
2008-03-25,135.84178875,52.9550375,86.8221359375,49.0196528125,37.48357052083333,24.310406302083337,3130.58,406562.1,0.63
2008-03-26,135.70926944173243,52.95374747800669,86.76091644950502,48.94835299222743,37.63086150135786,21.10882661376254,960.26,113341.21,1.64
2008-03-27,141.85517,52.01493,141.266085,0.589085,3.366875,0.6619474999999999,0.0,0.0,0.0
2008-03-28,139.7081125862445,52.3570053484186,93.58751458818297,46.12059799806154,12.050445,17.335890142614986,73.44,48936.44,0.13
2008-03-29,135.7339704255319,52.93518787234043,87.09553489361703,48.638435531914894,34.631125520833336,22.950507659574466,3137.26,509074.88,3.39
2008-03-30,135.37119109818224,52.951197566993166,86.68647491117085,48.68471618701139,36.552796092997724,21.821297446082006,1430.95,137396.4,1.55
2008-03-31,135.77850773290942,52.930850438643255,86.71774554761183,49.0607621852976,35.225767968402955,17.58221326428651,1950.58,378532.95,1.93
2008-04-01,135.17980947916666,52.94457385416667,86.46411739583333,48.71569208333333,36.768563541666666,24.201874322916666,3060.6,457837.18,2.82
2008-04-02,134.82249072916667,52.94692125,86.49324552083333,48.32924520833333,37.905075520833336,24.075298385416666,3053.67,461808.99,2.81
2008-04-03,134.4308384375,52.94865166666666,86.37257229166667,48.058266145833336,37.96056125,23.93383359375,3103.12,372985.57,2.86
2008-04-04,134.09024875,52.948526979166665,86.24495572916666,47.84529302083333,37.6086121875,23.83216703125,3110.68,463717.13,2.86
2008-04-05,133.7282134375,52.9473346875,86.15807864583333,47.57013479166667,37.73059677083333,23.6837215625,3303.3,463529.9,3.04
2008-04-06,133.42760020833333,52.94329520833333,86.0334078125,47.394192395833336,37.702954375,23.6750846875,3028.41,440906.09,153.36
2008-04-07,133.23819666666665,52.935940208333335,85.86826770833333,47.36992895833333,37.634884479166665,23.63695588541667,2998.8,452369.44,151.86
2008-04-08,132.94993708333334,52.93034541666667,85.677841875,47.27209520833333,37.31465229166667,23.554603072916667,3054.12,451030.48,4.34
2008-04-09,132.69756520833334,52.92655552083333,85.58883166666666,47.108733541666666,37.417633125,23.46639859375,3025.8,463595.31,4.91
2008-04-10,132.4603514893617,52.92324212765958,85.55445276595745,46.905898723404256,37.706352021276594,23.377372765957446,3003.22,468712.0,4.09
2008-04-11,132.167165,52.9200553125,85.35603677083333,46.81112822916667,37.098882708333335,23.325666770833333,3015.97,458936.65,10.44
2008-04-12,132.00411012114452,52.91888574997302,85.4295314865472,46.5745786345973,36.94747821247014,19.86294507263969,1615.37,242280.01,2.91
2008-04-13,134.047848125,52.740124375,87.239034375,46.80881375,24.34118,16.400975,429.77,65731.44,1.73
2008-04-14,132.80564770833334,52.80829625,90.86367385416666,41.94197385416667,32.010293958333335,16.872128437500002,2578.63,413142.56,3.62
2008-04-15,131.83817316649325,52.90920661160507,85.31947440359139,46.51869876290186,37.0833473499694,22.5018214730202,2494.26,400308.2,3.5
2008-04-16,131.50506303641592,52.82317593144542,85.00520001142199,46.499863024993935,37.23175330449353,23.1070302411467,2847.56,462314.88,3.99
2008-04-17,131.488804,52.904397,85.08304113333334,46.40576286666667,37.43534566666667,21.582278000000002,1120.57,184080.6,1.1
